date,price
2021-03-01,25.257
2021-03-08,25.88
2021-03-15,26.292
2021-03-22,25.092
2021-03-29,24.935
2021-04-05,25.311
2021-04-12,26.099
2021-04-19,26.077
2021-04-26,25.853
2021-05-03,27.462
2021-05-10,27.353
2021-05-17,27.473
2021-05-24,27.993
2021-05-31,27.879
2021-06-07,28.131
2021-06-14,25.958
2021-06-21,26.082
2021-06-28,26.481
2021-07-05,26.211
2021-07-12,25.777
2021-07-19,25.218
2021-07-26,25.528
2021-08-02,24.312
2021-08-09,23.768
2021-08-16,23.105
2021-08-23,24.06
2021-08-30,24.762
2021-09-06,23.855
2021-09-13,22.295
2021-09-20,22.388
2021-09-27,22.51
2021-10-04,22.679
2021-10-11,23.328
2021-10-18,24.429
2021-10-25,23.945
2021-11-01,24.152
2021-11-08,25.344
2021-11-15,24.78
2021-11-22,23.107
2021-11-29,22.445
2021-12-06,22.16
2021-12-13,22.507
2021-12-20,22.931
2021-12-27,23.328
2022-01-03,22.394
2022-01-10,22.911
2022-01-17,24.314
2022-01-24,22.302
2022-01-31,22.475
2022-02-07,23.366
2022-02-14,23.991
2022-02-21,23.997
2022-02-28,25.782
2022-03-07,26.106
2022-03-14,25.055
2022-03-21,25.595
2022-03-28,24.642
2022-04-04,24.819
2022-04-11,25.69
2022-04-18,24.257
2022-04-25,23.04
2022-05-02,22.325
2022-05-09,20.984
2022-05-16,21.669
2022-05-23,22.06
2022-05-30,21.89
2022-06-06,21.913
2022-06-13,21.573
2022-06-20,21.116
2022-06-27,19.597
2022-07-04,19.167
2022-07-11,18.548
2022-07-18,18.585
2022-07-25,20.156
2022-08-01,19.819
2022-08-08,20.677
2022-08-15,19.058
2022-08-22,18.74
2022-08-29,17.776
2022-09-05,18.658
2022-09-12,19.296
2022-09-19,18.841
2022-09-26,18.96
2022-10-03,20.192
2022-10-10,18.015
2022-10-17,19.043
2022-10-24,19.147
2022-10-31,20.79
2022-11-07,21.646
2022-11-14,20.976
2022-11-21,21.425
2022-11-28,23.038
2022-12-05,23.535
2022-12-12,23.151
2022-12-19,23.764
2022-12-26,23.862
2023-01-02,23.822
2023-01-09,24.231
2023-01-16,23.83
2023-01-23,23.527
2023-01-30,22.334
2023-02-06,22.034
2023-02-13,21.694
2023-02-20,20.806
2023-02-27,21.093
2023-03-06,20.375
2023-03-13,22.351
2023-03-20,23.247
2023-03-27,24.076
2023-04-03,25.025
2023-04-10,25.424
2023-04-17,25.053
2023-04-24,24.999
2023-05-01,25.743
2023-05-08,23.992
2023-05-15,23.92
2023-05-22,23.24
2023-05-29,23.643
2023-06-05,24.334
2023-06-12,24.076
2023-06-19,22.328
2023-06-26,22.81
2023-07-03,23.092
2023-07-10,25.014
2023-07-17,24.698
2023-07-24,24.37
2023-07-31,23.617
2023-08-07,22.674
2023-08-14,22.695
2023-08-21,24.22
2023-08-28,24.232
2023-09-04,22.892
2023-09-11,23.126
2023-09-18,23.596
2023-09-25,22.236
2023-10-02,21.54
2023-10-09,22.727
2023-10-16,23.351
2023-10-23,22.77
2023-10-30,23.201
2023-11-06,22.215
2023-11-13,23.809
2023-11-20,24.329
2023-11-27,25.499
2023-12-04,22.971
2023-12-11,23.87
2023-12-18,24.29
2023-12-25,23.853
2024-01-01,23.122
2024-01-08,23.162
2024-01-15,22.571
2024-01-22,22.755
2024-01-29,22.701
2024-02-05,22.528
2024-02-12,23.439
2024-02-19,22.969
2024-02-26,23.15
2024-03-04,24.339
