date,price
2021-03-01,1698.0
2021-03-08,1719.5
2021-03-15,1741.4
2021-03-22,1732.2
2021-03-29,1726.5
2021-04-05,1743.3
2021-04-12,1779.0
2021-04-19,1777.0
2021-04-26,1767.3
2021-05-03,1831.1
2021-05-10,1837.9
2021-05-17,1876.7
2021-05-24,1902.5
2021-05-31,1889.8
2021-06-07,1877.4
2021-06-14,1767.9
2021-06-21,1776.6
2021-06-28,1782.6
2021-07-05,1810.0
2021-07-12,1814.5
2021-07-19,1801.4
2021-07-26,1812.6
2021-08-02,1760.0
2021-08-09,1775.2
2021-08-16,1781.0
2021-08-23,1816.6
2021-08-30,1830.9
2021-09-06,1789.6
2021-09-13,1749.4
2021-09-20,1749.7
2021-09-27,1757.0
2021-10-04,1756.3
2021-10-11,1767.2
2021-10-18,1795.5
2021-10-25,1783.0
2021-11-01,1816.4
2021-11-08,1867.9
2021-11-15,1851.2
2021-11-22,1785.3
2021-11-29,1782.0
2021-12-06,1782.9
2021-12-13,1803.8
2021-12-20,1811.2
2021-12-27,1827.5
2022-01-03,1797.0
2022-01-10,1816.5
2022-01-17,1831.8
2022-01-24,1784.9
2022-01-31,1806.6
2022-02-07,1840.8
2022-02-14,1898.6
2022-02-21,1886.5
2022-02-28,1965.1
2022-03-07,1982.7
2022-03-14,1928.2
2022-03-21,1953.8
2022-03-28,1919.1
2022-04-04,1941.6
2022-04-11,1970.9
2022-04-18,1931.0
2022-04-25,1909.3
2022-05-02,1881.2
2022-05-09,1807.4
2022-05-16,1841.8
2022-05-23,1851.3
2022-05-30,1845.4
2022-06-06,1871.5
2022-06-13,1835.6
2022-06-20,1826.5
2022-06-27,1798.9
2022-07-04,1740.6
2022-07-11,1702.4
2022-07-18,1727.1
2022-07-25,1762.9
2022-08-01,1772.9
2022-08-08,1798.6
2022-08-15,1747.6
2022-08-22,1736.1
2022-08-29,1709.8
2022-09-05,1716.2
2022-09-12,1671.7
2022-09-19,1645.3
2022-09-26,1662.4
2022-10-03,1700.5
2022-10-10,1641.7
2022-10-17,1651.0
2022-10-24,1639.6
2022-10-31,1672.5
2022-11-07,1766.0
2022-11-14,1751.9
2022-11-21,1753.3
2022-11-28,1795.9
2022-12-05,1798.1
2022-12-12,1790.0
2022-12-19,1795.9
2022-12-26,1819.7
2023-01-02,1864.2
2023-01-09,1918.4
2023-01-16,1926.4
2023-01-23,1928.6
2023-01-30,1862.9
2023-02-06,1862.8
2023-02-13,1840.4
2023-02-20,1808.8
2023-02-27,1847.7
2023-03-06,1862.0
2023-03-13,1969.8
2023-03-20,1982.1
2023-03-27,1969.0
2023-04-03,2011.9
2023-04-10,2002.2
2023-04-17,1979.5
2023-04-24,1990.1
2023-05-01,2017.4
2023-05-08,2014.5
2023-05-15,1978.7
2023-05-22,1944.1
2023-05-29,1952.4
2023-06-05,1962.2
2023-06-12,1958.4
2023-06-19,1919.1
2023-06-26,1921.1
2023-07-03,1926.2
2023-07-10,1960.1
2023-07-17,1964.3
2023-07-24,1960.4
2023-07-31,1939.6
2023-08-07,1912.9
2023-08-14,1886.1
2023-08-21,1911.1
2023-08-28,1939.8
2023-09-04,1918.4
2023-09-11,1923.7
2023-09-18,1925.4
2023-09-25,1848.1
2023-10-02,1830.2
2023-10-09,1927.4
2023-10-16,1982.5
2023-10-23,1988.6
2023-10-30,1991.5
2023-11-06,1932.6
2023-11-13,1981.6
2023-11-20,2002.2
2023-11-27,2071.0
2023-12-04,1998.3
2023-12-11,2021.1
2023-12-18,2057.1001
2023-12-25,2062.3999
2024-01-01,2042.4
2024-01-08,2046.7
2024-01-15,2026.5
2024-01-22,2016.8
2024-01-29,2036.1
2024-02-05,2023.3
2024-02-12,2011.5
2024-02-19,2038.6
2024-02-26,2086.8999
2024-03-04,2178.6001
2024-03-11,2157.3
2024-03-18,2158.1001
2024-03-25,2217.3999
2024-04-01,2325.7
2024-04-08,2356.2
2024-04-15,2398.3999
2024-04-22,2334.8
2024-04-29,2299.0
2024-05-06,2367.3
2024-05-13,2412.2
2024-05-20,2332.5
2024-05-27,2322.8999
2024-06-03,2305.2
2024-06-10,2331.3999
2024-06-17,2316.3999
2024-06-24,2327.7
2024-07-01,2388.5
