date,price_a,price_b
2021-03-01,1698.0,25.257
2021-03-08,1719.5,25.88
2021-03-15,1741.4,26.292
2021-03-22,1732.2,25.092
2021-03-29,1726.5,24.935
2021-04-05,1743.3,25.311
2021-04-12,1779.0,26.099
2021-04-19,1777.0,26.077
2021-04-26,1767.3,25.853
2021-05-03,1831.1,27.462
2021-05-10,1837.9,27.353
2021-05-17,1876.7,27.473
2021-05-24,1902.5,27.993
2021-05-31,1889.8,27.879
2021-06-07,1877.4,28.131
2021-06-14,1767.9,25.958
2021-06-21,1776.6,26.082
2021-06-28,1782.6,26.481
2021-07-05,1810.0,26.211
2021-07-12,1814.5,25.777
2021-07-19,1801.4,25.218
2021-07-26,1812.6,25.528
2021-08-02,1760.0,24.312
2021-08-09,1775.2,23.768
2021-08-16,1781.0,23.105
2021-08-23,1816.6,24.06
2021-08-30,1830.9,24.762
2021-09-06,1789.6,23.855
2021-09-13,1749.4,22.295
2021-09-20,1749.7,22.388
2021-09-27,1757.0,22.51
2021-10-04,1756.3,22.679
2021-10-11,1767.2,23.328
2021-10-18,1795.5,24.429
2021-10-25,1783.0,23.945
2021-11-01,1816.4,24.152
2021-11-08,1867.9,25.344
2021-11-15,1851.2,24.78
2021-11-22,1785.3,23.107
2021-11-29,1782.0,22.445
2021-12-06,1782.9,22.16
2021-12-13,1803.8,22.507
2021-12-20,1811.2,22.931
2021-12-27,1827.5,23.328
2022-01-03,1797.0,22.394
2022-01-10,1816.5,22.911
2022-01-17,1831.8,24.314
2022-01-24,1784.9,22.302
2022-01-31,1806.6,22.475
2022-02-07,1840.8,23.366
2022-02-14,1898.6,23.991
2022-02-21,1886.5,23.997
2022-02-28,1965.1,25.782
2022-03-07,1982.7,26.106
2022-03-14,1928.2,25.055
2022-03-21,1953.8,25.595
2022-03-28,1919.1,24.642
2022-04-04,1941.6,24.819
2022-04-11,1970.9,25.69
2022-04-18,1931.0,24.257
2022-04-25,1909.3,23.04
2022-05-02,1881.2,22.325
2022-05-09,1807.4,20.984
2022-05-16,1841.8,21.669
2022-05-23,1851.3,22.06
2022-05-30,1845.4,21.89
2022-06-06,1871.5,21.913
2022-06-13,1835.6,21.573
2022-06-20,1826.5,21.116
2022-06-27,1798.9,19.597
2022-07-04,1740.6,19.167
2022-07-11,1702.4,18.548
2022-07-18,1727.1,18.585
2022-07-25,1762.9,20.156
2022-08-01,1772.9,19.819
2022-08-08,1798.6,20.677
2022-08-15,1747.6,19.058
2022-08-22,1736.1,18.74
2022-08-29,1709.8,17.776
2022-09-05,1716.2,18.658
2022-09-12,1671.7,19.296
2022-09-19,1645.3,18.841
2022-09-26,1662.4,18.96
2022-10-03,1700.5,20.192
2022-10-10,1641.7,18.015
2022-10-17,1651.0,19.043
2022-10-24,1639.6,19.147
2022-10-31,1672.5,20.79
2022-11-07,1766.0,21.646
2022-11-14,1751.9,20.976
2022-11-21,1753.3,21.425
2022-11-28,1795.9,23.038
2022-12-05,1798.1,23.535
2022-12-12,1790.0,23.151
2022-12-19,1795.9,23.764
2022-12-26,1819.7,23.862
2023-01-02,1864.2,23.822
2023-01-09,1918.4,24.231
2023-01-16,1926.4,23.83
2023-01-23,1928.6,23.527
2023-01-30,1862.9,22.334
2023-02-06,1862.8,22.034
2023-02-13,1840.4,21.694
2023-02-20,1808.8,20.806
2023-02-27,1847.7,21.093
2023-03-06,1862.0,20.375
2023-03-13,1969.8,22.351
2023-03-20,1982.1,23.247
2023-03-27,1969.0,24.076
2023-04-03,2011.9,25.025
2023-04-10,2002.2,25.424
2023-04-17,1979.5,25.053
2023-04-24,1990.1,24.999
2023-05-01,2017.4,25.743
2023-05-08,2014.5,23.992
2023-05-15,1978.7,23.92
2023-05-22,1944.1,23.24
2023-05-29,1952.4,23.643
2023-06-05,1962.2,24.334
2023-06-12,1958.4,24.076
2023-06-19,1919.1,22.328
2023-06-26,1921.1,22.81
2023-07-03,1926.2,23.092
2023-07-10,1960.1,25.014
